uid,id,country,gender,group,dt,total_spent,group,join_dt,device,join_dt
1006898,1006898,BRA,F,B,,0,B,2023-01-30,I,2023-01-30
1006899,1006899,AUS,M,A,,0,A,2023-02-05,A,2023-02-05
1006900,1006900,USA,M,B,,0,B,2023-01-28,A,2023-01-28
1006901,1006901,FRA,,B,,0,B,2023-01-28,A,2023-01-28
1006902,1006902,MEX,M,A,,0,A,2023-01-25,A,2023-01-25
1006903,1006903,BRA,F,B,,0,B,2023-01-25,A,2023-01-25
1006904,1006904,MEX,M,A,,0,A,2023-02-05,A,2023-02-05
1006905,1006905,USA,M,A,,0,A,2023-01-28,I,2023-01-28
1006906,1006906,BRA,,B,,0,B,2023-01-27,A,2023-01-27
1006907,1006907,USA,M,B,,0,B,2023-01-31,I,2023-01-31
1006908,1006908,GBR,M,B,,0,B,2023-01-27,A,2023-01-27
1006909,1006909,MEX,F,A,,0,A,2023-01-29,A,2023-01-29
1006910,1006910,BRA,F,A,,0,A,2023-01-25,A,2023-01-25
1006911,1006911,USA,F,A,,0,A,2023-01-30,A,2023-01-30
1006912,1006912,MEX,M,B,,0,B,2023-01-30,A,2023-01-30
1006913,1006913,,F,A,,0,A,2023-01-27,A,2023-01-27
1006914,1006914,DEU,F,A,,0,A,2023-02-03,A,2023-02-03
1006915,1006915,BRA,F,B,,0,B,2023-02-04,I,2023-02-04
1006916,1006916,USA,M,A,,0,A,2023-01-25,A,2023-01-25
1006917,1006917,CAN,F,A,,0,A,2023-01-26,I,2023-01-26
1006918,1006918,CAN,M,A,,0,A,2023-01-27,A,2023-01-27
1006919,1006919,GBR,M,B,,0,B,2023-01-29,A,2023-01-29
1006920,1006920,USA,,B,,0,B,2023-02-03,A,2023-02-03
1006921,1006921,GBR,M,A,,0,A,2023-01-26,I,2023-01-26
1006922,1006922,GBR,M,A,,0,A,2023-01-27,I,2023-01-27
1006923,1006923,USA,O,B,,0,B,2023-01-25,A,2023-01-25
1006924,1006924,USA,F,A,,0,A,2023-02-06,I,2023-02-06
1006925,1006925,MEX,M,A,,0,A,2023-01-26,A,2023-01-26
1006926,1006926,USA,,B,,0,B,2023-01-26,A,2023-01-26
1006927,1006927,USA,F,A,,0,A,2023-01-31,I,2023-01-31
1006928,1006928,BRA,M,A,,0,A,2023-01-29,A,2023-01-29
1006929,1006929,USA,M,B,,0,B,2023-01-25,A,2023-01-25
1006930,1006930,USA,F,B,,0,B,2023-01-27,A,2023-01-27
1006931,1006931,USA,,B,,0,B,2023-02-05,A,2023-02-05
1006932,1006932,USA,M,B,,0,B,2023-01-26,A,2023-01-26
1006933,1006933,DEU,M,B,,0,B,2023-01-30,I,2023-01-30
1006934,1006934,MEX,F,B,,0,B,2023-01-31,A,2023-01-31
1006935,1006935,BRA,F,A,,0,A,2023-01-28,A,2023-01-28
1006936,1006936,USA,O,B,2023-01-27,40.23,B,2023-01-27,I,2023-01-27
1006937,1006937,USA,M,A,,0,A,2023-02-06,A,2023-02-06
1006938,1006938,USA,F,A,,0,A,2023-01-25,I,2023-01-25
1006939,1006939,DEU,F,B,,0,B,2023-02-04,A,2023-02-04
1006940,1006940,FRA,,A,,0,A,2023-01-27,A,2023-01-27
1006941,1006941,USA,M,B,,0,B,2023-02-06,A,2023-02-06
1006942,1006942,USA,M,A,,0,A,2023-01-26,I,2023-01-26
1006943,1006943,MEX,F,B,,0,B,2023-01-26,A,2023-01-26
1006944,1006944,BRA,M,A,,0,A,2023-01-28,I,2023-01-28
1006945,1006945,BRA,,B,,0,B,2023-02-02,A,2023-02-02
1006946,1006946,BRA,M,B,,0,B,2023-01-26,I,2023-01-26
1006947,1006947,GBR,,A,,0,A,2023-01-28,A,2023-01-28
1006948,1006948,USA,M,A,,0,A,2023-01-31,I,2023-01-31
1006949,1006949,USA,M,B,,0,B,2023-01-30,I,2023-01-30
1006950,1006950,ESP,M,A,,0,A,2023-01-27,I,2023-01-27
1006951,1006951,MEX,,A,,0,A,2023-01-25,I,2023-01-25
1006952,1006952,FRA,M,A,,0,A,2023-01-29,A,2023-01-29
1006953,1006953,USA,,A,,0,A,2023-02-02,I,2023-02-02
1006954,1006954,USA,F,A,,0,A,2023-01-26,A,2023-01-26
1006955,1006955,DEU,M,A,,0,A,2023-01-25,I,2023-01-25
1006956,1006956,TUR,F,B,,0,B,2023-01-26,I,2023-01-26
1006957,1006957,USA,F,B,,0,B,2023-01-27,A,2023-01-27
1006958,1006958,MEX,M,B,,0,B,2023-02-02,A,2023-02-02
1006959,1006959,CAN,F,B,,0,B,2023-01-31,A,2023-01-31
1006960,1006960,BRA,F,B,,0,B,2023-01-28,A,2023-01-28
1006961,1006961,DEU,F,A,,0,A,2023-01-25,A,2023-01-25
1006962,1006962,AUS,M,A,,0,A,2023-01-28,I,2023-01-28
1006963,1006963,USA,,A,,0,A,2023-01-25,I,2023-01-25
1006964,1006964,USA,,B,,0,B,2023-01-25,I,2023-01-25
1006965,1006965,USA,F,A,,0,A,2023-01-29,A,2023-01-29
1006966,1006966,AUS,,B,,0,B,2023-02-03,I,2023-02-03
1006967,1006967,BRA,,B,,0,B,2023-02-04,A,2023-02-04
1006968,1006968,USA,F,B,,0,B,2023-01-28,I,2023-01-28
1006969,1006969,USA,F,B,,0,B,2023-02-02,I,2023-02-02
1006970,1006970,ESP,M,A,,0,A,2023-01-25,A,2023-01-25
1006971,1006971,BRA,,B,,0,B,2023-01-26,A,2023-01-26
1006972,1006972,DEU,M,A,,0,A,2023-01-28,I,2023-01-28
1006973,1006973,BRA,F,A,,0,A,2023-01-25,A,2023-01-25
1006974,1006974,BRA,M,B,,0,B,2023-01-30,A,2023-01-30
1006975,1006975,USA,M,A,,0,A,2023-01-25,I,2023-01-25
1006976,1006976,ESP,M,B,,0,B,2023-01-26,I,2023-01-26
1006977,1006977,MEX,F,B,,0,B,2023-01-26,A,2023-01-26
1006978,1006978,TUR,F,B,,0,B,2023-02-01,A,2023-02-01
1006979,1006979,BRA,F,A,,0,A,2023-01-26,A,2023-01-26
1006980,1006980,USA,F,B,,0,B,2023-02-01,I,2023-02-01
1006981,1006981,GBR,F,A,,0,A,2023-02-05,I,2023-02-05
1006982,1006982,TUR,F,B,,0,B,2023-01-26,A,2023-01-26
1006983,1006983,USA,F,B,,0,B,2023-01-25,A,2023-01-25
1006984,1006984,FRA,F,B,,0,B,2023-01-25,A,2023-01-25
1006985,1006985,AUS,F,A,,0,A,2023-01-29,A,2023-01-29
1006986,1006986,BRA,F,A,,0,A,2023-01-26,A,2023-01-26
1006987,1006987,MEX,F,B,,0,B,2023-01-26,I,2023-01-26
1006988,1006988,MEX,M,A,,0,A,2023-01-26,A,2023-01-26
1006989,1006989,BRA,M,A,,0,A,2023-01-30,I,2023-01-30
1006990,1006990,DEU,M,A,,0,A,2023-01-25,A,2023-01-25
1006991,1006991,USA,O,A,,0,A,2023-01-28,A,2023-01-28
1006992,1006992,BRA,M,B,,0,B,2023-01-26,I,2023-01-26
1006993,1006993,DEU,F,A,,0,A,2023-01-28,A,2023-01-28
1006994,1006994,USA,,B,,0,B,2023-01-25,I,2023-01-25
1006995,1006995,USA,M,B,,0,B,2023-01-30,A,2023-01-30
1006996,1006996,MEX,F,B,,0,B,2023-01-26,A,2023-01-26
1006997,1006997,FRA,F,B,,0,B,2023-01-31,A,2023-01-31
1006998,1006998,BRA,,A,,0,A,2023-01-26,I,2023-01-26
1006999,1006999,FRA,M,A,,0,A,2023-02-01,A,2023-02-01
1007000,1007000,USA,M,A,,0,A,2023-01-28,A,2023-01-28
1007001,1007001,USA,O,B,,0,B,2023-01-26,A,2023-01-26
1007002,1007002,DEU,,B,,0,B,2023-01-25,A,2023-01-25
1007003,1007003,USA,F,B,,0,B,2023-01-25,A,2023-01-25
1007004,1007004,TUR,M,B,,0,B,2023-01-29,I,2023-01-29
1007005,1007005,MEX,F,A,,0,A,2023-01-28,A,2023-01-28
1007006,1007006,AUS,,A,,0,A,2023-01-25,A,2023-01-25
1007007,1007007,MEX,,A,,0,A,2023-01-29,I,2023-01-29
1007008,1007008,USA,M,B,,0,B,2023-01-26,I,2023-01-26
1007009,1007009,MEX,M,B,,0,B,2023-01-26,A,2023-01-26
1007010,1007010,GBR,M,B,,0,B,2023-01-25,A,2023-01-25
1007011,1007011,TUR,F,A,,0,A,2023-02-02,A,2023-02-02
1007012,1007012,USA,M,A,,0,A,2023-01-26,A,2023-01-26
1007013,1007013,BRA,,B,,0,B,2023-01-26,A,2023-01-26
1007014,1007014,BRA,M,B,,0,B,2023-01-31,A,2023-01-31
1007015,1007015,MEX,M,A,,0,A,2023-01-30,A,2023-01-30
1007016,1007016,ESP,,B,,0,B,2023-01-26,A,2023-01-26
1007017,1007017,BRA,F,A,,0,A,2023-02-01,I,2023-02-01
1007018,1007018,DEU,M,B,,0,B,2023-02-01,A,2023-02-01
1007019,1007019,USA,,A,,0,A,2023-01-26,A,2023-01-26
1007020,1007020,BRA,M,B,,0,B,2023-01-31,A,2023-01-31
1007021,1007021,TUR,M,A,,0,A,2023-02-03,I,2023-02-03
1007022,1007022,ESP,,A,,0,A,2023-01-25,A,2023-01-25
1007023,1007023,BRA,F,A,,0,A,2023-02-06,I,2023-02-06
1007024,1007024,USA,F,B,,0,B,2023-01-26,I,2023-01-26
1007025,1007025,FRA,M,A,,0,A,2023-01-27,A,2023-01-27
1007026,1007026,BRA,M,A,,0,A,2023-01-25,A,2023-01-25
1007027,1007027,BRA,F,B,,0,B,2023-01-25,I,2023-01-25
1007028,1007028,MEX,F,B,,0,B,2023-01-28,A,2023-01-28
1007029,1007029,TUR,F,A,,0,A,2023-01-25,I,2023-01-25
1007030,1007030,GBR,M,B,,0,B,2023-01-25,I,2023-01-25
1007031,1007031,USA,M,B,,0,B,2023-01-27,I,2023-01-27
1007032,1007032,MEX,F,A,,0,A,2023-01-30,I,2023-01-30
1007033,1007033,MEX,F,A,,0,A,2023-01-26,I,2023-01-26
1007034,1007034,BRA,M,A,,0,A,2023-02-01,I,2023-02-01
1007035,1007035,MEX,M,A,,0,A,2023-01-29,A,2023-01-29
1007036,1007036,CAN,F,B,,0,B,2023-02-01,A,2023-02-01
1007037,1007037,CAN,M,B,,0,B,2023-01-25,I,2023-01-25
1007038,1007038,ESP,F,B,2023-02-03,99.02,B,2023-01-31,A,2023-01-31
1007039,1007039,USA,M,B,,0,B,2023-02-05,I,2023-02-05
1007040,1007040,BRA,,B,,0,B,2023-02-01,A,2023-02-01
1007041,1007041,BRA,F,B,,0,B,2023-01-27,I,2023-01-27
1007042,1007042,USA,M,B,,0,B,2023-01-31,A,2023-01-31
1007043,1007043,FRA,,B,,0,B,2023-02-06,A,2023-02-06
1007044,1007044,USA,M,B,,0,B,2023-01-27,I,2023-01-27
1007045,1007045,DEU,M,B,,0,B,2023-02-03,A,2023-02-03
1007046,1007046,MEX,F,A,,0,A,2023-02-02,A,2023-02-02
1007047,1007047,USA,F,A,,0,A,2023-01-25,I,2023-01-25
1007048,1007048,BRA,F,A,,0,A,2023-01-26,I,2023-01-26
1007049,1007049,,F,A,2023-01-25,74.47,A,2023-01-25,A,2023-01-25
1007050,1007050,BRA,M,B,,0,B,2023-01-30,I,2023-01-30
1007051,1007051,ESP,F,B,,0,B,2023-01-25,A,2023-01-25
1007052,1007052,USA,M,B,,0,B,2023-02-04,I,2023-02-04
1007053,1007053,USA,F,B,,0,B,2023-01-27,A,2023-01-27
1007054,1007054,USA,F,B,,0,B,2023-01-29,I,2023-01-29
1007055,1007055,CAN,F,B,,0,B,2023-01-29,A,2023-01-29
1007056,1007056,TUR,F,A,,0,A,2023-01-27,I,2023-01-27
1007057,1007057,USA,F,A,,0,A,2023-01-26,I,2023-01-26
1007058,1007058,USA,F,B,,0,B,2023-02-04,I,2023-02-04
1007059,1007059,ESP,F,A,,0,A,2023-01-29,I,2023-01-29
1007060,1007060,USA,F,B,,0,B,2023-01-25,A,2023-01-25
1007061,1007061,,M,A,,0,A,2023-02-05,A,2023-02-05
1007062,1007062,FRA,F,B,,0,B,2023-02-03,I,2023-02-03
1007063,1007063,USA,F,B,,0,B,2023-01-27,,2023-01-27
1007064,1007064,BRA,M,A,,0,A,2023-02-06,A,2023-02-06
1007065,1007065,BRA,,A,,0,A,2023-01-31,I,2023-01-31
1007066,1007066,BRA,F,B,,0,B,2023-02-05,I,2023-02-05
1007067,1007067,BRA,,A,,0,A,2023-01-25,A,2023-01-25
1007068,1007068,AUS,F,B,,0,B,2023-01-25,I,2023-01-25
1007069,1007069,BRA,M,A,,0,A,2023-01-27,A,2023-01-27
1007070,1007070,BRA,M,B,,0,B,2023-01-28,A,2023-01-28
1007071,1007071,TUR,F,A,,0,A,2023-01-25,A,2023-01-25
1007072,1007072,USA,,A,,0,A,2023-01-26,A,2023-01-26
1007073,1007073,GBR,M,A,,0,A,2023-02-02,A,2023-02-02
1007074,1007074,BRA,F,B,,0,B,2023-01-25,I,2023-01-25
1007075,1007075,GBR,M,B,,0,B,2023-01-29,A,2023-01-29
1007076,1007076,MEX,M,B,,0,B,2023-01-31,A,2023-01-31
1007077,1007077,ESP,F,A,,0,A,2023-01-28,A,2023-01-28
1007078,1007078,BRA,M,B,,0,B,2023-01-25,A,2023-01-25
1007079,1007079,TUR,F,A,,0,A,2023-01-29,I,2023-01-29
1007080,1007080,USA,,B,,0,B,2023-01-27,I,2023-01-27
1007081,1007081,USA,F,B,,0,B,2023-02-01,A,2023-02-01
1007082,1007082,TUR,M,A,,0,A,2023-01-25,A,2023-01-25
1007083,1007083,GBR,M,B,,0,B,2023-01-26,I,2023-01-26
1007084,1007084,MEX,M,A,,0,A,2023-01-25,A,2023-01-25
1007085,1007085,DEU,M,A,,0,A,2023-01-27,A,2023-01-27
1007086,1007086,MEX,M,B,,0,B,2023-01-31,I,2023-01-31
1007087,1007087,BRA,F,A,,0,A,2023-01-25,I,2023-01-25
1007088,1007088,BRA,F,A,,0,A,2023-01-27,I,2023-01-27
1007089,1007089,MEX,F,A,,0,A,2023-01-27,A,2023-01-27
1007090,1007090,BRA,M,A,,0,A,2023-02-03,A,2023-02-03
1007091,1007091,BRA,M,B,,0,B,2023-01-27,I,2023-01-27
1007092,1007092,MEX,F,B,,0,B,2023-01-25,A,2023-01-25
1007093,1007093,MEX,M,A,,0,A,2023-01-28,A,2023-01-28
1007094,1007094,DEU,M,A,,0,A,2023-01-25,,2023-01-25
1007095,1007095,AUS,M,A,,0,A,2023-01-27,A,2023-01-27
1007096,1007096,BRA,F,A,,0,A,2023-01-25,A,2023-01-25
1007097,1007097,USA,M,A,,0,A,2023-01-25,I,2023-01-25
1007098,1007098,MEX,F,A,,0,A,2023-01-28,I,2023-01-28
1007099,1007099,FRA,F,B,,0,B,2023-02-02,A,2023-02-02
1007100,1007100,GBR,F,A,,0,A,2023-02-03,A,2023-02-03
1007101,1007101,DEU,M,A,,0,A,2023-01-27,I,2023-01-27
1007102,1007102,MEX,M,B,,0,B,2023-01-27,I,2023-01-27
1007103,1007103,TUR,F,B,,0,B,2023-01-26,A,2023-01-26
1007104,1007104,USA,F,B,,0,B,2023-01-28,A,2023-01-28
1007105,1007105,BRA,M,A,,0,A,2023-01-28,A,2023-01-28
1007106,1007106,TUR,F,A,,0,A,2023-01-29,A,2023-01-29
1007107,1007107,GBR,M,A,,0,A,2023-01-29,A,2023-01-29
1007108,1007108,ESP,F,A,,0,A,2023-01-26,A,2023-01-26
1007109,1007109,DEU,F,B,,0,B,2023-01-28,A,2023-01-28
1007110,1007110,DEU,F,A,,0,A,2023-01-25,I,2023-01-25
1007111,1007111,AUS,M,A,,0,A,2023-01-30,I,2023-01-30
1007112,1007112,GBR,F,B,,0,B,2023-01-30,I,2023-01-30
1007113,1007113,MEX,M,A,,0,A,2023-01-31,A,2023-01-31
1007114,1007114,USA,O,A,,0,A,2023-01-25,I,2023-01-25
1007115,1007115,BRA,F,A,,0,A,2023-01-26,A,2023-01-26
1007116,1007116,USA,F,B,,0,B,2023-02-04,I,2023-02-04
1007117,1007117,DEU,O,B,,0,B,2023-01-30,A,2023-01-30
1007118,1007118,BRA,F,B,,0,B,2023-02-04,,2023-02-04
1007119,1007119,CAN,F,A,,0,A,2023-01-31,A,2023-01-31
1007120,1007120,BRA,O,A,,0,A,2023-01-26,I,2023-01-26
1007121,1007121,DEU,M,B,,0,B,2023-01-25,I,2023-01-25
1007122,1007122,USA,M,B,,0,B,2023-01-25,A,2023-01-25
1007123,1007123,GBR,F,A,,0,A,2023-01-30,A,2023-01-30
1007124,1007124,USA,M,A,,0,A,2023-01-28,A,2023-01-28
1007125,1007125,MEX,,A,,0,A,2023-02-03,A,2023-02-03
1007126,1007126,BRA,,A,,0,A,2023-01-25,A,2023-01-25
1007127,1007127,MEX,M,A,,0,A,2023-01-27,I,2023-01-27
1007128,1007128,MEX,F,B,,0,B,2023-02-04,A,2023-02-04
1007129,1007129,BRA,M,B,,0,B,2023-01-28,I,2023-01-28
1007130,1007130,FRA,M,A,,0,A,2023-01-27,I,2023-01-27
1007131,1007131,CAN,F,B,,0,B,2023-01-27,A,2023-01-27
1007132,1007132,CAN,F,B,,0,B,2023-01-26,A,2023-01-26
1007133,1007133,MEX,M,B,,0,B,2023-01-26,A,2023-01-26
1007134,1007134,BRA,F,B,,0,B,2023-01-25,A,2023-01-25
1007135,1007135,BRA,O,B,,0,B,2023-01-27,A,2023-01-27
1007136,1007136,USA,F,A,2023-01-25,85.12,A,2023-01-25,A,2023-01-25
1007137,1007137,USA,F,B,,0,B,2023-01-25,A,2023-01-25
1007138,1007138,MEX,F,A,,0,A,2023-01-30,I,2023-01-30
1007139,1007139,GBR,M,B,,0,B,2023-01-25,I,2023-01-25
1007140,1007140,USA,F,A,,0,A,2023-02-01,A,2023-02-01
1007141,1007141,TUR,F,A,,0,A,2023-01-26,A,2023-01-26
1007142,1007142,MEX,,A,,0,A,2023-01-26,A,2023-01-26
1007143,1007143,GBR,F,A,,0,A,2023-02-03,A,2023-02-03
1007144,1007144,,F,A,,0,A,2023-02-05,A,2023-02-05
1007145,1007145,BRA,F,B,,0,B,2023-01-28,A,2023-01-28
1007146,1007146,GBR,F,A,,0,A,2023-01-29,A,2023-01-29
1007147,1007147,USA,O,B,,0,B,2023-01-25,A,2023-01-25
1007148,1007148,TUR,F,B,,0,B,2023-01-28,I,2023-01-28
1007149,1007149,DEU,M,A,,0,A,2023-02-02,A,2023-02-02
1007150,1007150,MEX,M,B,2023-02-06,64.2,B,2023-02-06,I,2023-02-06
1007151,1007151,BRA,,A,,0,A,2023-01-26,A,2023-01-26
1007152,1007152,USA,,A,,0,A,2023-02-04,I,2023-02-04
1007153,1007153,USA,F,B,,0,B,2023-01-26,A,2023-01-26
1007154,1007154,TUR,F,A,,0,A,2023-02-05,A,2023-02-05
1007155,1007155,BRA,F,B,,0,B,2023-02-01,A,2023-02-01
1007156,1007156,DEU,M,B,,0,B,2023-01-29,A,2023-01-29
1007157,1007157,USA,M,A,,0,A,2023-01-26,I,2023-01-26
1007158,1007158,USA,F,A,,0,A,2023-01-25,A,2023-01-25
1007159,1007159,USA,,B,,0,B,2023-01-25,A,2023-01-25
1007160,1007160,USA,M,A,,0,A,2023-02-02,I,2023-02-02
1007162,1007162,MEX,F,B,,0,B,2023-01-25,A,2023-01-25
1007163,1007163,DEU,,A,,0,A,2023-01-31,I,2023-01-31
1007164,1007164,AUS,F,A,,0,A,2023-01-28,I,2023-01-28
1007165,1007165,DEU,M,A,,0,A,2023-01-27,I,2023-01-27
1007166,1007166,DEU,O,A,,0,A,2023-01-26,A,2023-01-26
1007167,1007167,GBR,M,A,,0,A,2023-01-26,A,2023-01-26
1007168,1007168,BRA,M,A,,0,A,2023-01-26,I,2023-01-26
1007169,1007169,FRA,O,B,,0,B,2023-01-30,A,2023-01-30
1007170,1007170,MEX,,A,,0,A,2023-01-27,I,2023-01-27
1007171,1007171,BRA,F,A,,0,A,2023-01-25,A,2023-01-25
1007173,1007173,USA,M,A,,0,A,2023-01-29,A,2023-01-29
1007174,1007174,USA,M,B,,0,B,2023-01-25,I,2023-01-25
1007175,1007175,DEU,M,A,,0,A,2023-01-27,I,2023-01-27
1007176,1007176,BRA,M,B,,0,B,2023-01-27,I,2023-01-27
1007177,1007177,MEX,,A,,0,A,2023-02-03,A,2023-02-03
1007178,1007178,BRA,M,A,,0,A,2023-01-28,A,2023-01-28
1007179,1007179,BRA,M,B,,0,B,2023-01-25,A,2023-01-25
1007180,1007180,USA,M,B,,0,B,2023-02-04,A,2023-02-04
1007181,1007181,CAN,F,B,,0,B,2023-01-26,A,2023-01-26
1007182,1007182,FRA,F,B,,0,B,2023-01-27,A,2023-01-27
1007183,1007183,DEU,M,A,,0,A,2023-02-06,A,2023-02-06
1007184,1007184,USA,M,A,,0,A,2023-01-31,A,2023-01-31
1007185,1007185,USA,F,A,,0,A,2023-01-27,I,2023-01-27
1007186,1007186,USA,M,A,,0,A,2023-01-25,I,2023-01-25
1007187,1007187,FRA,M,A,,0,A,2023-01-28,A,2023-01-28
1007188,1007188,BRA,O,A,,0,A,2023-02-06,A,2023-02-06
1007189,1007189,USA,M,B,,0,B,2023-01-26,A,2023-01-26
1007190,1007190,BRA,M,A,,0,A,2023-02-02,A,2023-02-02
1007191,1007191,USA,F,B,,0,B,2023-01-25,A,2023-01-25
1007192,1007192,FRA,M,B,,0,B,2023-02-01,A,2023-02-01
1007193,1007193,TUR,M,B,,0,B,2023-01-30,I,2023-01-30
1007194,1007194,ESP,,A,,0,A,2023-01-25,I,2023-01-25
1007195,1007195,USA,,A,,0,A,2023-01-26,A,2023-01-26
1007196,1007196,GBR,,A,,0,A,2023-01-27,A,2023-01-27
1007197,1007197,GBR,M,B,,0,B,2023-01-26,I,2023-01-26
1007198,1007198,USA,M,B,,0,B,2023-01-28,A,2023-01-28
1007199,1007199,BRA,M,A,,0,A,2023-01-31,A,2023-01-31
1007200,1007200,BRA,,B,,0,B,2023-01-25,I,2023-01-25
1007201,1007201,DEU,M,B,,0,B,2023-01-25,A,2023-01-25
1007202,1007202,ESP,F,A,,0,A,2023-01-26,A,2023-01-26
1007203,1007203,BRA,M,B,,0,B,2023-01-31,I,2023-01-31
1007204,1007204,BRA,M,B,,0,B,2023-01-27,A,2023-01-27
1007205,1007205,GBR,M,B,,0,B,2023-01-28,A,2023-01-28
1007206,1007206,DEU,M,A,,0,A,2023-01-28,I,2023-01-28
1007207,1007207,BRA,M,A,,0,A,2023-01-27,A,2023-01-27
1007208,1007208,USA,M,B,,0,B,2023-01-27,I,2023-01-27
1007209,1007209,USA,M,B,,0,B,2023-02-03,I,2023-02-03
1007210,1007210,DEU,F,B,,0,B,2023-01-27,I,2023-01-27
1007211,1007211,USA,F,A,,0,A,2023-01-25,I,2023-01-25
1007212,1007212,DEU,F,B,,0,B,2023-01-25,A,2023-01-25
1007215,1007215,USA,O,B,,0,B,2023-01-28,A,2023-01-28
1007216,1007216,GBR,F,B,,0,B,2023-01-25,A,2023-01-25
1007217,1007217,USA,,B,,0,B,2023-01-26,A,2023-01-26
1007218,1007218,USA,F,B,2023-01-27,22.19417032591272,B,2023-01-26,A,2023-01-26
1007218,1007218,USA,F,B,2023-01-26,65.8,B,2023-01-26,A,2023-01-26
1007219,1007219,CAN,M,B,,0,B,2023-01-29,I,2023-01-29
1007220,1007220,USA,M,A,,0,A,2023-02-04,A,2023-02-04
1007221,1007221,BRA,,A,,0,A,2023-01-25,I,2023-01-25
1007222,1007222,BRA,F,A,,0,A,2023-02-05,A,2023-02-05
1007223,1007223,MEX,F,A,,0,A,2023-01-30,A,2023-01-30
1007224,1007224,BRA,M,B,,0,B,2023-01-26,I,2023-01-26
1007225,1007225,USA,M,B,,0,B,2023-01-27,A,2023-01-27
1007226,1007226,USA,F,B,,0,B,2023-02-03,A,2023-02-03
1007227,1007227,USA,F,B,,0,B,2023-01-28,I,2023-01-28
1007228,1007228,USA,F,B,,0,B,2023-01-26,A,2023-01-26
1007229,1007229,ESP,M,B,,0,B,2023-01-25,A,2023-01-25
1007230,1007230,USA,M,A,2023-02-06,75.19,A,2023-02-06,A,2023-02-06
1007231,1007231,,F,A,,0,A,2023-01-27,I,2023-01-27
1007232,1007232,FRA,,A,,0,A,2023-01-25,A,2023-01-25
1007233,1007233,ESP,F,A,,0,A,2023-01-26,A,2023-01-26
1007234,1007234,USA,F,A,,0,A,2023-01-25,A,2023-01-25
1007236,1007236,USA,M,A,2023-01-28,63.35,A,2023-01-28,I,2023-01-28
1007237,1007237,DEU,M,B,,0,B,2023-01-26,I,2023-01-26
1007238,1007238,DEU,M,A,,0,A,2023-01-28,A,2023-01-28
1007239,1007239,BRA,M,A,,0,A,2023-02-02,A,2023-02-02
1007240,1007240,CAN,F,B,,0,B,2023-01-31,I,2023-01-31
1007241,1007241,FRA,M,B,,0,B,2023-01-29,A,2023-01-29
1007242,1007242,GBR,M,B,,0,B,2023-01-26,A,2023-01-26
1007243,1007243,USA,M,A,,0,A,2023-01-27,A,2023-01-27
1007244,1007244,BRA,M,A,,0,A,2023-01-29,I,2023-01-29
1007245,1007245,USA,M,B,,0,B,2023-01-26,I,2023-01-26
1007246,1007246,FRA,,A,,0,A,2023-02-04,A,2023-02-04
1007247,1007247,GBR,O,A,,0,A,2023-01-25,A,2023-01-25
1007248,1007248,MEX,F,B,,0,B,2023-01-27,A,2023-01-27
1007249,1007249,BRA,M,A,2023-01-28,176.88,A,2023-01-26,I,2023-01-26
1007250,1007250,BRA,F,A,,0,A,2023-01-25,A,2023-01-25
1007251,1007251,USA,F,B,,0,B,2023-01-26,A,2023-01-26
1007252,1007252,BRA,M,B,,0,B,2023-01-29,I,2023-01-29
1007253,1007253,BRA,F,B,,0,B,2023-01-31,I,2023-01-31
1007254,1007254,BRA,F,A,,0,A,2023-01-29,I,2023-01-29
1007255,1007255,USA,F,B,,0,B,2023-02-06,A,2023-02-06
1007256,1007256,USA,F,B,,0,B,2023-01-25,A,2023-01-25
1007257,1007257,BRA,M,B,,0,B,2023-01-27,I,2023-01-27
1007258,1007258,BRA,,A,,0,A,2023-02-04,A,2023-02-04
1007259,1007259,MEX,M,B,,0,B,2023-01-26,I,2023-01-26
1007260,1007260,BRA,F,B,,0,B,2023-02-06,I,2023-02-06
1007261,1007261,DEU,,B,,0,B,2023-01-25,A,2023-01-25
1007262,1007262,BRA,F,B,,0,B,2023-01-27,I,2023-01-27
1007263,1007263,FRA,F,B,,0,B,2023-02-03,A,2023-02-03
1007264,1007264,BRA,M,B,,0,B,2023-01-25,I,2023-01-25
1007265,1007265,DEU,M,B,,0,B,2023-01-27,I,2023-01-27
1007266,1007266,USA,F,A,,0,A,2023-01-26,A,2023-01-26
1007267,1007267,MEX,F,A,,0,A,2023-02-05,A,2023-02-05
1007268,1007268,BRA,M,A,,0,A,2023-01-29,I,2023-01-29
1007269,1007269,BRA,,B,,0,B,2023-01-28,I,2023-01-28
1007270,1007270,DEU,M,A,,0,A,2023-01-29,I,2023-01-29
1007271,1007271,USA,M,B,,0,B,2023-01-26,I,2023-01-26
1007272,1007272,BRA,F,B,,0,B,2023-01-25,I,2023-01-25
1007273,1007273,BRA,F,A,,0,A,2023-02-02,I,2023-02-02
1007274,1007274,DEU,M,A,,0,A,2023-01-25,A,2023-01-25
1007275,1007275,USA,M,A,,0,A,2023-02-03,A,2023-02-03
1007276,1007276,DEU,F,A,,0,A,2023-01-29,I,2023-01-29
1007277,1007277,BRA,M,A,,0,A,2023-02-01,A,2023-02-01
1007278,1007278,MEX,F,B,,0,B,2023-02-05,I,2023-02-05
1007279,1007279,BRA,M,A,,0,A,2023-02-04,A,2023-02-04
1007280,1007280,MEX,,A,,0,A,2023-01-27,A,2023-01-27
